x1,y1,z1
-56.9800415,-6.443206787,-3.49597168
-62.26669312,-5.372589111,-3.06262207
-59.92259216,-9.398010254,-2.110046387
-47.53215027,-4.814056396,-114.9452057
-48.18284607,-13.20040894,-114.1660156
-45.76979065,-5.326171875,-112.4022217
-47.39533997,-20.13412476,-111.3104858
-45.24302673,-15.92315674,-109.4433136
-45.34266663,-0.123046875,-113.4967041
-40.96286011,-1.927368164,-108.8408356
-41.57849121,-8.705474854,-107.733963
-44.97108459,8.023010254,-113.7372589
-44.09143066,4.120880127,-112.3692169
-40.37690735,6.999450684,-109.2133179
-40.86172485,13.50592041,-109.6916351
-44.26783752,15.63769531,-113.8472137
-42.31274414,19.12142944,-110.836441
-44.31135559,-20.64492798,-107.3125763
-41.72062683,-15.57952881,-104.6680145
-40.49398804,2.720794678,-109.3615112
-35.42082214,10.41708374,-105.3539886
-47.56483459,-25.15777588,-109.2230072
35.82037354,-16.05517578,-109.1247253
35.29302979,-22.33135986,-107.278244
39.29800415,-18.68734741,-112.8535614
39.14074707,-11.70391846,-113.2441559
35.68414307,-9.966583252,-108.8048248
37.29449463,-4.68850708,-110.2947388
38.42047119,1.964355469,-111.1893463
33.80905151,0.710845947,-106.9620361
36.45733643,7.334197998,-108.9520721
-39.89546204,24.11828613,-107.9206085
-42.79702759,24.87081909,-110.7007904
35.83950806,-29.68313599,-106.2878723
39.38613892,-30.24551392,-112.9988098
39.53585815,-25.29022217,-112.366333
-42.769104,-25.28543091,-103.7888489
39.01571655,14.91830444,-109.566452
36.17706299,19.27020264,-105.8308563
33.24981689,12.55413818,-105.6595154
-37.44352722,20.12860107,-106.9106598
-41.60145569,34.16052246,-109.066864
-42.65686035,29.48092651,-110.3798065
-39.48760986,28.69476318,-107.1268616
32.99417114,-18.65951538,-105.6435242
32.41241455,-13.42269897,-104.931488
33.3359375,-7.33895874,-106.1242218
-38.27772522,-3.627716064,-103.6392365
-36.38916016,1.379730225,-104.836792
-35.01489258,5.741119385,-103.5510254
31.01855469,17.7746582,-103.2870636
39.96194458,22.0763855,-107.2320404
38.29602051,23.66061401,-105.7059326
-35.91413879,35.47879028,-103.7690277
-40.63053894,40.42422485,-107.2580109
38.60479736,-36.52084351,-108.5007477
35.60626221,-35.82525635,-104.5594635
32.46173096,-25.48638916,-101.894455
32.49157715,-3.547576904,-104.7771454
30.54156494,6.371246338,-103.6281738
-36.11412048,24.99136353,-105.1755829
36.49850464,-41.46331787,-102.3289185
-39.25137329,-11.57684326,-101.2632904
33.71975708,25.04229736,-103.2889709
-31.28927612,21.77053833,-102.3909454
39.68896484,27.14474487,-105.958374
41.70440674,24.96044922,-108.7441559
-31.66238403,27.87106323,-101.6724396
-39.77696228,42.58999634,-104.3722076
-41.57672119,45.77203369,-105.3267975
-46.75111389,-31.22515869,-105.1692352
31.30880737,-18.36193848,-101.9559021
-38.87432861,-20.01745605,-100.108429
29.55224609,-8.515228271,-100.2006683
-38.58789063,-6.854125977,-102.6847534
-33.81723022,3.008209229,-101.0546875
-33.83061218,16.22155762,-104.019165
-39.46270752,49.20977783,-102.8516235
-41.65731812,49.1411438,-105.0958252
-51.60446167,-38.11523438,-105.7736816
-47.90281677,-38.91616821,-100.2874451
38.85040283,32.51205444,-103.9571838
41.88464355,32.6100769,-106.7950592
41.96392822,35.73199463,-105.4841614
-34.38479614,42.65274048,-100.6624451
31.10122681,-30.06329346,-99.28370667
-39.17622375,-15.49118042,-101.0067749
27.44088745,1.579620361,-99.29693604
-30.16122437,12.18637085,-99.70544434
26.21905518,12.2293396,-99.44778442
27.09490967,6.21194458,-100.8938141
-28.881073,31.86203003,-99.14228821
38.92141724,37.74041748,-102.5626526
33.03189087,-35.90246582,-100.1807404
-40.55288696,-33.30688477,-97.60240173
-38.41186523,-28.06271362,-98.50267029
-34.17071533,-0.204772949,-98.57640076
-30.69332886,5.605560303,-96.65678406
32.78521729,32.20495605,-100.3707275
36.99200439,40.03097534,-99.70419312
41.06674194,43.96142578,-101.6331787
-32.70768738,47.17285156,-98.79606628
