x1,y1,z1,x2,y2,z2
28.63251877,527.2113037,132.9933319,-37.53773499,-55.88031006,-79.15287781
120.4743042,545.3938599,-46.13632965,-33.01002502,-58.0869751,-78.01596069
81.99291992,551.5709229,-69.69366455,2.964538574,-46.23864746,-81.6778717
48.57561493,553.2698975,-85.55187988,6.783233643,-48.6222229,-78.75
48.41821289,530.6331177,119.0916901,-31.37481689,-62.28051758,-76.02030945
116.5170746,526.4421387,79.43054199,-37.77589417,-59.52633667,-76.07652283
-51.5897789,518.9539795,102.8385391,5.716217041,-53.57400513,-77.6776886
140.0299377,531.7254028,12.5243454,10.58200073,-51.68597412,-76.45915222
148.0128021,532.2043457,-19.94404602,-35.02168274,-63.36654663,-73.60183716
-65.01023865,541.362854,-11.96151447,-32.83552551,-65.44882202,-73.35037231
126.8795776,538.756958,-83.02729797,-34.43171692,-61.52801514,-74.53721619
18.22901917,551.685791,-97.56600952,-29.41928101,-66.96246338,-73.99134827
47.4527359,542.4350586,-113.2572327,-37.59587097,-60.11810303,-74.69299316
5.292479992,517.690979,155.9884644,-36.85803223,-60.62112427,-74.02557373
-80.98812866,524.0928955,44.50175858,-36.48278809,-59.63247681,-74.29312134
152.8381653,529.9492798,-59.7746048,-11.5007019,3.987335205,-74.32119751
67.43418884,545.8812866,-97.88529968,-15.46304321,10.11080933,-74.16627502
59.46560669,521.6320801,144.1489563,-16.59860229,9.532470703,-76.55599976
36.93867493,513.6135254,171.276947,-37.18278503,-66.71392822,-71.53497314
91.90449524,514.4511719,144.9134827,-40.52549744,-62.47088623,-72.34205627
120.5094757,511.2926636,122.3074036,-40.19966125,-59.51644897,-74.54748535
147.8490295,519.8811646,49.10209656,-7.671417236,1.691864014,-73.93431091
175.4981842,512.3729248,12.09383392,-8.451141357,0.417633057,-74.20143127
-30.4674263,547.5974121,-82.79740906,-8.078948975,5.00100708,-74.29519653
-19.32511139,539.2601318,-112.1744385,-42.65704346,-67.87643433,-69.02069092
17.05541801,537.59375,-127.5580444,13.3397522,-60.48876953,-73.20498657
78.12683105,502.025238,182.2915192,11.31243896,-65.07785034,-73.09109497
4.271255016,495.9082336,196.4228821,17.61895752,-68.74685669,-71.72796631
-33.17902374,508.0800781,156.9798279,19.22113037,-62.09359741,-73.61408997
156.0786438,504.5627136,92.56674194,-80.26751709,-86.44152832,-70.88424683
61.08607101,523.9019775,46.47199249,-78.8238678,-80.64547729,-69.53799438
100.4983368,519.2213135,78.77998352,-79.52354431,-83.20600891,-71.3112793
