x1,y1,z1,x2,y2,z2
-0.96007508,8.140557289,5.138817787,-0.325710416,2.803912878,6.630690575
-0.757610917,8.026485443,4.595786095,-0.954020202,2.70807147,5.306453228
-0.096549541,8.015685081,4.314826965,0.063483357,2.784103155,5.440692425
1.013163567,6.980076313,9.886573792,0.026645556,2.782033682,5.357305527
-0.328847319,6.851368427,10.13501549,0.141239703,2.757264614,5.290637016
-1.009346843,7.121761322,9.435389519,0.17035237,2.791536808,5.411531448
2.429605961,7.139256954,8.263341904,-1.637430549,2.741933823,4.969111443
0.703520298,7.547964096,7.452182293,-1.611198425,2.717471361,5.074429989
1.419670582,7.422363758,8.031921387,-1.623911977,2.749693155,5.02790308
0.698322535,7.488624573,8.13223362,0.052967846,2.782946825,5.270272732
0.237173796,7.472988605,7.810831547,0.229662389,2.692025185,5.191319942
1.37585485,7.507801533,7.19533062,0.297052979,2.704572916,5.231198311
1.920412898,7.116346359,7.424710274,-0.851230264,2.69253087,5.240760326
-2.018407583,7.11221981,8.349455833,-0.440306783,2.753445387,6.736183643
-0.321789324,7.394412518,8.018889427,-0.406042576,2.648346901,6.743617535
-0.702413976,7.633915424,7.519368649,-0.480249375,2.680532932,6.798663616
-0.126962364,7.561326504,7.406247139,-0.966723561,2.633780956,5.214524269
0.929785967,7.708815098,6.790061951,-1.611141324,2.649908304,4.753125668
1.37880826,7.603971481,6.670953751,-1.690807939,2.636763334,4.834486008
1.811785579,7.344162464,6.741578102,-1.659285545,2.680261374,4.813338757
0.183134317,7.643117428,6.779415607,-1.678322196,2.65781188,4.943820477
-2.32094717,7.597107887,6.345134258,-1.694392204,2.64391613,4.944122791
2.220773697,7.840521336,5.226577759,0.302035958,2.618443727,5.115870953
1.219596028,7.967691898,4.435040474,-1.043837786,2.642066717,5.302187443
0.405665934,6.843614578,10.21198845,0.357281804,2.537242174,5.046973228
1.820751548,6.900537014,9.592150688,0.453086376,2.592225075,5.128928185
2.502015591,6.793629646,9.056052208,-1.049814701,2.572451353,5.22273016
0.934523582,7.148389816,8.681394577,-1.07717073,2.598073244,5.302073002
0.232586026,7.24438858,8.42464447,-1.062259436,2.564912558,5.282477856
0.241208255,7.526157856,7.36762619,-1.07281661,2.52982378,5.256037235
-0.415116876,7.079032898,8.744196892,-1.080848932,2.559106112,5.314016342
-1.089789629,7.320802212,8.194551468,0.283660591,2.546064854,5.000096321
-1.272722006,7.472378254,7.455304146,-1.071306586,2.52951479,5.286060333
-0.42275551,7.696587086,6.980734348,-1.093372107,2.51098299,5.253503799
-1.031055212,7.666209221,6.908342361,-1.138632059,2.510737896,5.306451321
2.89957428,7.429763794,6.010486126,-1.140197992,2.485020161,5.205831528
1.18276763,7.762703419,6.350319862,0.382386923,2.446154594,4.9411726
0.708357453,7.777206421,6.125798702,0.421047986,2.481304884,5.03865099
